R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,B_Country_Argentina,B_Country_Australia,B_Country_Austria,B_Country_Brazil,B_Country_Canada,B_Country_China,B_Country_Denmark,B_Country_Iceland,B_Country_Jamaica,B_Country_Japan,B_Country_Nigeria,B_Country_Northern Ireland,B_Country_Norway,B_Country_Palestine,B_Country_Russia,B_Country_Tunisia,B_Country_USA,B_Country_brazil,B_Country_england ,B_Country_poland,B_Country_sweden,R_Country_Afghanistan,R_Country_Argentina,R_Country_Australia,R_Country_Austria,R_Country_Brazil,R_Country_China,R_Country_Denmark,R_Country_Germany,R_Country_Ghana,R_Country_Iceland,R_Country_New Zealand,R_Country_Nigeria,R_Country_Palestine,R_Country_Russia,R_Country_USA,R_Country_brazil,R_Country_canada,R_Country_england ,R_Country_ireland
Santiago Ponzinibbio,Li Jingliang,1/16/2021,0,0.6350446375220018,32,0,1,0,4,9,4,0,0,1,2,6,0,0,0.5714285714285712,0.09999999999999964,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5377804877881861,25,0,0,1,7,9,2,0,0,0,4,5,0,0,0.5714285714285712,0.2999999999999998,0.5,32,34,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Thompson,Geoff Neal,12/19/2020,2,0.2090543756562098,9,0,5,0,5,5,0,0,0,0,1,3,1,0,0.4285714285714288,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.590424405087059,43,2,1,0,7,10,5,0,0,0,5,5,0,0,0.5714285714285712,0.5,0.5,30,37,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anthony Pettis,Alex Morono,12/19/2020,2,0.4524275380646973,26,0,2,0,3,7,4,0,0,1,4,1,1,0,0.4285714285714288,0.20000000000000018,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.4457619849068211,48,4,0,1,5,10,9,0,0,1,2,3,4,0,0.2857142857142865,0.20000000000000018,0.0,30,33,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Michel Pereira,Khaos Williams,12/19/2020,2,0.001121185478379673,2,0,2,0,2,2,0,0,0,0,0,2,0,0,0.5714285714285712,0.7000000000000011,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.46462437202254964,10,0,1,0,1,2,2,0,0,0,0,1,1,0,0.7142857142857135,0.2999999999999998,0.5,26,27,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Baeza,Takashi Sato,11/28/2020,2,0.20200025035473768,6,0,1,0,1,2,1,0,0,0,0,2,0,0,0.2857142857142865,0.2999999999999998,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17587098220972874,4,0,2,0,2,2,0,0,0,0,0,2,0,0,0.8571428571428577,0.40000000000000036,0.5,30,28,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mike Perry,Tim Means,11/21/2020,0,0.46245255784934186,48,0,2,0,4,12,10,0,0,1,4,5,2,0,0.8571428571428577,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.39839758190245683,30,0,2,0,2,7,6,0,0,1,2,4,0,0,0.2857142857142865,0.09999999999999964,0.5,36,29,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Daniel Rodriguez,Nicolas Dalby,11/21/2020,0,0.3789606916923293,16,0,1,0,1,2,4,0,0,1,1,0,0,0,0.4285714285714288,0.40000000000000036,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.20741306054082137,6,0,3,0,3,3,0,0,0,0,1,1,1,0,0.7142857142857135,0.40000000000000036,0.5,36,33,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alex Morono,Rhys McKee,11/14/2020,2,0.12108803166500465,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.8571428571428577,0.8000000000000007,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.16025526388444916,23,0,2,0,3,6,4,0,0,1,3,1,1,0,0.4285714285714288,0.20000000000000018,0.5,25,30,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdul Razak Alhassan,Khaos Williams,11/14/2020,0,0.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0.5714285714285712,0.7000000000000011,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2907367174654578,10,0,1,0,3,4,2,0,0,0,0,4,0,0,0.2857142857142865,0.2999999999999998,0.5,26,35,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Williams,Jason Witt,10/31/2020,0,0.015696596697315414,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2857142857142865,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5714285714285712,0.2999999999999998,0.5,33,36,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Claudio Silva,James Krause,10/17/2020,0,0.597202437801957,29,0,1,0,6,8,4,0,0,0,3,3,2,0,0.8571428571428577,0.2999999999999998,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.197376944708201,11,0,5,0,5,5,0,0,0,1,1,0,3,0,0.4285714285714288,0.09999999999999964,0.5,34,38,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Carlos Condit,Court McGee,10/3/2020,2,0.6487498252342792,45,1,3,0,3,8,8,0,0,1,5,0,2,0,0.4285714285714288,0.5,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.2555087094732228,45,3,0,1,5,7,9,0,0,1,1,4,0,1,0.8571428571428577,0.5,0.5,35,36,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Diego Sanchez,Jake Matthews,9/26/2020,0,0.5950184619221967,31,0,2,0,3,9,4,0,0,1,3,0,4,1,0.4285714285714288,0.2999999999999998,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4658973988341459,81,2,6,0,6,19,12,0,0,3,9,6,0,0,0.2857142857142865,0.20000000000000018,0.5,26,38,0,0,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Colby Covington,Tyron Woodley,9/19/2020,2,0.9999999999999999,42,6,1,0,3,9,5,0,1,1,1,5,1,0,0.14285714285714235,0.40000000000000036,0.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.9488161831706373,38,2,3,0,7,10,2,0,0,0,6,2,2,0,0.4285714285714288,0.20000000000000018,0.5,38,32,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Cerrone,Niko Price,9/19/2020,1,0.37199853865581695,18,0,1,0,2,6,5,0,0,0,0,4,2,0,0.5714285714285712,0.5999999999999996,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.3359811458048781,75,1,4,0,8,23,12,0,0,0,7,10,6,0,0.7142857142857135,0.2999999999999998,0.0,30,37,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bryan Barberena,Anthony Ivy,9/12/2020,2,0.02391862353876635,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.8571428571428577,0.40000000000000036,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.4304119700145634,25,0,1,0,2,5,5,0,0,0,1,3,1,0,0.5714285714285712,0.20000000000000018,0.5,30,31,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Michel Pereira,Zelim Imadaev,9/5/2020,2,0.5381690296222428,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0.5714285714285712,0.5999999999999996,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.3756374783066489,7,0,1,0,1,1,2,0,0,0,0,1,0,0,0.7142857142857135,0.2999999999999998,0.5,25,26,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Lawler,Neil Magny,8/29/2020,0,0.6278833242726971,58,0,1,0,7,16,6,0,0,1,9,5,1,0,1.0,1.0000000000000009,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7162837195188012,63,5,3,0,5,13,8,0,0,3,4,6,0,0,0.4285714285714288,0.40000000000000036,0.5,33,38,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sean Brady,Christian Aguilera,8/29/2020,2,0.02391862353876635,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0.14285714285714235,0.20000000000000018,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.569669051070643,6,0,2,0,2,2,0,0,0,0,2,0,0,0,0.2857142857142865,0.20000000000000018,0.5,28,27,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Daniel Rodriguez,Dwight Grant,8/22/2020,2,0.5402245363326055,7,0,0,1,2,2,1,0,0,1,0,1,0,0,0.7142857142857135,0.5999999999999996,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4232373419699342,5,0,2,0,2,2,0,0,0,0,1,0,1,0,0.7142857142857135,0.40000000000000036,0.5,35,33,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tim Means,Laureano Staropoli,8/8/2020,2,0.6525299484169693,9,0,2,0,2,2,1,0,0,0,2,0,0,0,0.7142857142857135,0.09999999999999964,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.18076666749083886,45,0,2,0,4,11,10,0,0,1,3,5,2,0,0.8571428571428577,0.5,0.5,27,36,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vicente Luque,Randy Brown,8/1/2020,2,0.37680883314229124,23,0,1,0,2,6,3,0,0,0,2,2,2,0,1.0,0.8000000000000007,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.49192135633873096,28,0,0,1,6,11,3,0,0,1,0,6,3,1,0.4285714285714288,0.5,0.5,30,28,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Oliveira,Peter Sobotta,7/25/2020,2,0.5146007765454701,22,0,0,3,2,4,5,0,0,0,2,1,1,0,0.5714285714285712,0.5,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5240636811086551,39,0,0,1,3,10,7,0,0,1,2,4,3,0,0.4285714285714288,0.5999999999999996,0.5,33,32,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Dalby,Jesse Ronson,7/25/2020,1,0.6525299484169693,9,0,0,3,0,0,3,0,0,0,0,0,0,0,0.2857142857142865,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.569669051070643,15,0,1,0,1,2,3,0,0,1,1,0,0,0,0.4285714285714288,0.40000000000000036,0.5,34,35,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
